,sample,pitch_weighted,pitch_mean,pitch_median,pitch_std
42,43_sample_7809_p10_f.wav,374.83484023126334,443.08764838992124,358.32192663806075,313.93080723614224
43,44_sample_7809_p10_m.wav,238.9098823080781,321.9612598747609,220.55824963064418,289.621821945533
44,45_sample_9064_p-10_f.wav,203.1037612852056,341.51526818393654,172.39713034607507,395.8268075580665
45,46_sample_9064_p-10_m.wav,165.5527280392079,295.31746789142073,112.05105304440264,381.6517004398491
46,47_sample_9064_p10_f.wav,370.60266590407025,451.89477028527807,379.9771992461262,343.43878330735885
47,48_sample_9064_p10_m.wav,263.6580809011482,374.8085042436387,243.41783284515475,366.4474325756373
48,49_sample_9093_p-10_f.wav,211.74204414820463,354.6349944911342,192.4996154941254,395.5453313653304
49,50_sample_9093_p-10_m.wav,154.02106885499418,313.608614950378,125.31645999126658,378.8939681635306
50,51_sample_9093_p10_f.wav,376.7664242124385,439.29931847008385,386.0319497621375,296.2656521129147
51,52_sample_9093_p10_m.wav,267.35335984908374,371.22195298848646,259.96572310619445,351.3881965521297
