,time,frequency,confidence
356,3.56,39.51909670303225,0.20625725
357,3.57,132.93065761214484,0.60562253
358,3.58,131.75879536148724,0.70866
359,3.59,131.12064396788114,0.67470175
360,3.6,126.48311970293435,0.49425444
361,3.61,124.82325635838703,0.6017134
362,3.62,130.11226175795986,0.46172357
363,3.63,131.69898624773572,0.8706632
364,3.64,132.87116473599028,0.867888
365,3.65,132.91073162677216,0.62058204
366,3.66,153.97031454448984,0.052059785
367,3.67,52.39828369714243,0.3503537
368,3.68,53.23348876816819,0.2688112
369,3.69,52.90757453560121,0.09477521
370,3.7,38.13217139932557,0.09985088
371,3.71,38.29882253911667,0.16243018
372,3.72,44.069907964111096,0.16652325
373,3.73,44.276028592625174,0.03615905
374,3.74,53.825911459785296,0.038013414
375,3.75,162.7384718567441,0.2130421
376,3.76,164.5420632653925,0.42111444
377,3.77,165.38995485633873,0.5372962
378,3.78,163.1552064434572,0.5722014
379,3.79,160.64057836202377,0.45770842
380,3.8,147.4759440753245,0.16917877
381,3.81,142.78501309793387,0.07682961
382,3.82,180.0687963017458,0.023984345
383,3.83,218.7572424861185,0.31067425
384,3.84,212.77742145705804,0.31252587
385,3.85,203.19022984860533,0.54311335
386,3.86,199.48899769260268,0.5712349
387,3.87,195.97229334354915,0.4921351
388,3.88,192.0377922243064,0.5949207
389,3.89,187.22517556258995,0.6792941
390,3.9,182.63858738046912,0.6476724
391,3.91,172.98627497053832,0.44245982
392,3.92,163.0620795225391,0.57656175
393,3.93,157.51130923128488,0.36760718
394,3.94,159.25249182875208,0.2171171
395,3.95,158.9095119890472,0.10332127
396,3.96,1167.4338312803513,0.09614807
397,3.97,163.99113918299807,0.025616618
398,3.98,218.02400411242235,0.45606017
399,3.99,203.39349195389207,0.565824
400,4.0,198.88865784013007,0.6192109
401,4.01,196.05724946375344,0.7480041
402,4.02,192.84665524537286,0.84678394
403,4.03,190.27664988128072,0.9246867
404,4.04,188.16004832420185,0.9419889
405,4.05,186.23964216086065,0.9439165
406,4.06,183.92699363766332,0.9324842
407,4.07,180.15678328528722,0.8453936
408,4.08,175.058713122948,0.76485354
409,4.09,169.1629062896686,0.7496121
410,4.1,162.92603513084077,0.69822323
411,4.11,154.99996181309126,0.64724463
412,4.12,148.24551230099456,0.553747
413,4.13,140.61950812375744,0.48671952
